vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
1.000000e-01	2.476331e-16	4.019785e-18	3.080179e+01	3.393978e+02	2.367007e-02	1.046187e-14	7.296250e-19	-9.123350e-01	2.000000e-01
1.100000e-01	3.369577e-16	5.469817e-18	3.080155e+01	3.393952e+02	3.259126e-02	1.033890e-14	9.928180e-19	-9.023350e-01	2.000000e-01
1.200000e-01	4.585011e-16	7.442891e-18	3.080128e+01	3.393922e+02	4.486182e-02	1.022030e-14	1.350948e-18	-8.923350e-01	2.000000e-01
1.300000e-01	6.238833e-16	1.012766e-17	3.080095e+01	3.393887e+02	6.173485e-02	1.010585e-14	1.838256e-18	-8.823350e-01	2.000000e-01
1.400000e-01	8.489149e-16	1.378083e-17	3.080058e+01	3.393845e+02	8.493076e-02	9.995376e-15	2.501336e-18	-8.723350e-01	2.000000e-01
1.500000e-01	1.155107e-15	1.875165e-17	3.080014e+01	3.393797e+02	1.168110e-01	9.888684e-15	3.403583e-18	-8.623350e-01	2.000000e-01
1.600000e-01	1.571728e-15	2.551537e-17	3.079963e+01	3.393741e+02	1.606162e-01	9.785611e-15	4.631254e-18	-8.523350e-01	2.000000e-01
1.700000e-01	2.138596e-15	3.471855e-17	3.079904e+01	3.393675e+02	2.207924e-01	9.686005e-15	6.301711e-18	-8.423350e-01	2.000000e-01
1.800000e-01	2.909886e-15	4.724096e-17	3.079834e+01	3.393599e+02	3.034380e-01	9.589724e-15	8.574633e-18	-8.323350e-01	2.000000e-01
1.900000e-01	3.959300e-15	6.427950e-17	3.079753e+01	3.393510e+02	4.169160e-01	9.496637e-15	1.166727e-17	-8.223350e-01	2.000000e-01
2.000000e-01	5.387100e-15	8.746262e-17	3.079659e+01	3.393406e+02	5.726921e-01	9.406627e-15	1.587520e-17	-8.123350e-01	2.000000e-01
2.100000e-01	7.329681e-15	1.190058e-16	3.079549e+01	3.393284e+02	7.864817e-01	9.319583e-15	2.160055e-17	-8.023350e-01	2.000000e-01
2.200000e-01	9.972576e-15	1.619229e-16	3.079420e+01	3.393143e+02	1.079820e+00	9.235407e-15	2.939038e-17	-7.923350e-01	2.000000e-01
2.300000e-01	1.356815e-14	2.203143e-16	3.079270e+01	3.392978e+02	1.482208e+00	9.154009e-15	3.998891e-17	-7.823350e-01	2.000000e-01
2.400000e-01	1.845964e-14	2.997575e-16	3.079096e+01	3.392785e+02	2.034051e+00	9.075307e-15	5.440852e-17	-7.723350e-01	2.000000e-01
2.500000e-01	2.511387e-14	4.078394e-16	3.078892e+01	3.392561e+02	2.790669e+00	8.999230e-15	7.402630e-17	-7.623350e-01	2.000000e-01
