vg gm vg idbyw vg gmbyid vg gmbygds vg ft vg cgg vg gds vg Voverdrive
 1.80000000e-01  2.84751731e-15  1.80000000e-01  4.62284182e-17  1.80000000e-01  3.07983425e+01  1.80000000e-01  5.51657338e+01  1.80000000e-01  2.96912612e-01  1.80000000e-01  9.59042222e-15  1.80000000e-01  5.16175009e-17  1.80000000e-01 -8.32335014e-01 
 1.90000000e-01  3.87443828e-15  1.90000000e-01  6.29017637e-17  1.90000000e-01  3.07975329e+01  1.90000000e-01  5.51642837e+01  1.90000000e-01  4.07947682e-01  1.90000000e-01  9.49739009e-15  1.90000000e-01  7.02345433e-17  1.90000000e-01 -8.22335014e-01 
 2.00000000e-01  5.27163604e-15  2.00000000e-01  8.55879868e-17  2.00000000e-01  3.07965887e+01  2.00000000e-01  5.51625923e+01  2.00000000e-01  5.60368938e-01  2.00000000e-01  9.40743800e-15  2.00000000e-01  9.55654153e-17  2.00000000e-01 -8.12335014e-01 
 2.10000000e-01  7.17258068e-15  2.10000000e-01  1.16455061e-16  2.10000000e-01  3.07954873e+01  2.10000000e-01  5.51606196e+01  2.10000000e-01  7.69552442e-01  2.10000000e-01  9.32045730e-15  2.10000000e-01  1.30030822e-16  2.10000000e-01 -8.02335014e-01 
 2.20000000e-01  9.75882906e-15  2.20000000e-01  1.58452374e-16  2.20000000e-01  3.07942028e+01  2.20000000e-01  5.51583187e+01  2.20000000e-01  1.05656780e+00  2.20000000e-01  9.23634911e-15  2.20000000e-01  1.76923976e-16  2.20000000e-01 -7.92335014e-01 
 2.30000000e-01  1.32773357e-14  2.30000000e-01  2.15592229e-16  2.30000000e-01  3.07927046e+01  2.30000000e-01  5.51556351e+01  2.30000000e-01  1.45027865e+00  2.30000000e-01  9.15502390e-15  2.30000000e-01  2.40724917e-16  2.30000000e-01 -7.82335014e-01 
 2.40000000e-01  1.80639870e-14  2.40000000e-01  2.93332662e-16  2.40000000e-01  3.07909574e+01  2.40000000e-01  5.51525054e+01  2.40000000e-01  1.99021470e+00  2.40000000e-01  9.07640118e-15  2.40000000e-01  3.27527950e-16  2.40000000e-01 -7.72335014e-01 
 2.50000000e-01  2.45755920e-14  2.50000000e-01  3.99097991e-16  2.50000000e-01  3.07889198e+01  2.50000000e-01  5.51488554e+01  2.50000000e-01  2.73049718e+00  2.50000000e-01  9.00040922e-15  2.50000000e-01  4.45622884e-16  2.50000000e-01 -7.62335014e-01 
 2.60000000e-01  3.34333597e-14  2.60000000e-01  5.42986576e-16  2.60000000e-01  3.07865435e+01  2.60000000e-01  5.51445989e+01  2.60000000e-01  3.74520181e+00  2.60000000e-01  8.92698481e-15  2.60000000e-01  6.06285300e-16  2.60000000e-01 -7.52335014e-01 
 2.70000000e-01  4.54819762e-14  2.70000000e-01  7.38732983e-16  2.70000000e-01  3.07837725e+01  2.70000000e-01  5.51396353e+01  2.70000000e-01  5.13568212e+00  2.70000000e-01  8.85607309e-15  2.70000000e-01  8.24850871e-16  2.70000000e-01 -7.42335014e-01 
 2.80000000e-01  6.18698594e-14  2.80000000e-01  1.00501577e-15  2.80000000e-01  3.07805414e+01  2.80000000e-01  5.51338474e+01  2.80000000e-01  7.04056468e+00  2.80000000e-01  8.78762744e-15  2.80000000e-01  1.12217562e-15  2.80000000e-01 -7.32335014e-01 
 2.90000000e-01  8.41581523e-14  2.90000000e-01  1.36723479e-15  2.90000000e-01  3.07767741e+01  2.90000000e-01  5.51270988e+01  2.90000000e-01  9.64938334e+00  2.90000000e-01  8.72160938e-15  2.90000000e-01  1.52662038e-15  2.90000000e-01 -7.22335014e-01 
 3.00000000e-01  1.14468698e-13  3.00000000e-01  1.85992588e-15  3.00000000e-01  3.07723818e+01  3.00000000e-01  5.51192307e+01  3.00000000e-01  1.32211654e+01  3.00000000e-01  8.65798853e-15  3.00000000e-01  2.07674703e-15  3.00000000e-01 -7.12335014e-01 
 3.10000000e-01  1.55684865e-13  3.10000000e-01  2.53004100e-15  3.10000000e-01  3.07672613e+01  3.10000000e-01  5.51100581e+01  3.10000000e-01  1.81097506e+01  3.10000000e-01  8.59674262e-15  3.10000000e-01  2.82498096e-15  3.10000000e-01 -7.02335014e-01 
 3.20000000e-01  2.11723967e-13  3.20000000e-01  3.44140232e-15  3.20000000e-01  3.07612926e+01  3.20000000e-01  5.50993657e+01  3.20000000e-01  2.47982550e+01  3.20000000e-01  8.53785749e-15  3.20000000e-01  3.84258448e-15  3.20000000e-01 -6.92335014e-01 
 3.30000000e-01  2.87906634e-13  3.30000000e-01  4.68074867e-15  3.30000000e-01  3.07543360e+01  3.30000000e-01  5.50869034e+01  3.30000000e-01  3.39459411e+01  3.30000000e-01  8.48132723e-15  3.30000000e-01  5.22640803e-15  3.30000000e-01 -6.82335014e-01 
