vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
1.120000e+00	3.572053e-04	6.012642e-05	2.970452e+00	9.975079e-01	1.090747e+11	3.274869e-15	3.580977e-04	4.397800e-01	2.000000e-01
1.130000e+00	3.564543e-04	6.191030e-05	2.878796e+00	9.529361e-01	1.084653e+11	3.286343e-15	3.740590e-04	4.497798e-01	2.000000e-01
1.140000e+00	3.556334e-04	6.369023e-05	2.791899e+00	9.117515e-01	1.078531e+11	3.297387e-15	3.900552e-04	4.597797e-01	2.000000e-01
1.150000e+00	3.547469e-04	6.546589e-05	2.709402e+00	8.735947e-01	1.072387e+11	3.308013e-15	4.060772e-04	4.697795e-01	2.000000e-01
1.160000e+00	3.537981e-04	6.723696e-05	2.630979e+00	8.381524e-01	1.066224e+11	3.318234e-15	4.221167e-04	4.797794e-01	2.000000e-01
1.170000e+00	3.527901e-04	6.900312e-05	2.556334e+00	8.051512e-01	1.060046e+11	3.328064e-15	4.381663e-04	4.897792e-01	2.000000e-01
1.180000e+00	3.517252e-04	7.076410e-05	2.485195e+00	7.743512e-01	1.053854e+11	3.337514e-15	4.542192e-04	4.997791e-01	2.000000e-01
1.190000e+00	3.506055e-04	7.251960e-05	2.417316e+00	7.455418e-01	1.047647e+11	3.346600e-15	4.702694e-04	5.097790e-01	2.000000e-01
1.200000e+00	3.494328e-04	7.426937e-05	2.352470e+00	7.185372e-01	1.041425e+11	3.355335e-15	4.863114e-04	5.197788e-01	2.000000e-01
1.210000e+00	3.482087e-04	7.601313e-05	2.290451e+00	6.931734e-01	1.035186e+11	3.363733e-15	5.023400e-04	5.297787e-01	2.000000e-01
1.220000e+00	3.469345e-04	7.775065e-05	2.231071e+00	6.693049e-01	1.028927e+11	3.371807e-15	5.183504e-04	5.397785e-01	2.000000e-01
1.230000e+00	3.456113e-04	7.948166e-05	2.174158e+00	6.468024e-01	1.022648e+11	3.379571e-15	5.343383e-04	5.497784e-01	2.000000e-01
1.240000e+00	3.442403e-04	8.120593e-05	2.119552e+00	6.255507e-01	1.016346e+11	3.387039e-15	5.502996e-04	5.597783e-01	2.000000e-01
1.250000e+00	3.428225e-04	8.292323e-05	2.067108e+00	6.054469e-01	1.010017e+11	3.394224e-15	5.662305e-04	5.697781e-01	2.000000e-01
1.260000e+00	3.413588e-04	8.463331e-05	2.016693e+00	5.863989e-01	1.003661e+11	3.401137e-15	5.821272e-04	5.797780e-01	2.000000e-01
1.270000e+00	3.398500e-04	8.633595e-05	1.968184e+00	5.683239e-01	9.972736e+10	3.407791e-15	5.979866e-04	5.897778e-01	2.000000e-01
1.280000e+00	3.382971e-04	8.803094e-05	1.921467e+00	5.511474e-01	9.908536e+10	3.414199e-15	6.138051e-04	5.997777e-01	2.000000e-01
1.290000e+00	3.367008e-04	8.971805e-05	1.876439e+00	5.348024e-01	9.843988e+10	3.420370e-15	6.295799e-04	6.097776e-01	2.000000e-01
1.300000e+00	3.350620e-04	9.139706e-05	1.833002e+00	5.192281e-01	9.779073e+10	3.426317e-15	6.453079e-04	6.197774e-01	2.000000e-01
1.310000e+00	3.333815e-04	9.306777e-05	1.791068e+00	5.043697e-01	9.713774e+10	3.432049e-15	6.609863e-04	6.297773e-01	2.000000e-01
1.320000e+00	3.316599e-04	9.472997e-05	1.750554e+00	4.901771e-01	9.648075e+10	3.437576e-15	6.766125e-04	6.397772e-01	2.000000e-01
1.330000e+00	3.298983e-04	9.638346e-05	1.711384e+00	4.766051e-01	9.581964e+10	3.442909e-15	6.921837e-04	6.497770e-01	2.000000e-01
